username,review,rating,sentiment
Pengguna Google,sangat membantu,5,positif
Pengguna Google,"Sangat membantu,cepat dan ramah driver nya",5,positif
Pengguna Google,"saldo multi trip saya ga masuk masuk, keterangan kendala teknis, sudah kelamaan.",1,negatif
Pengguna Google,👍👍👍👍,5,positif
Pengguna Google,"okee banget aplikasinya, mantulll tapi sayang mau pernah ada gopaylater tiba2 dinonaktifin padahal selalu lancar bayar tagihan pun tepat waktu.",5,positif
Pengguna Google,top,5,positif
Pengguna Google,Mantap maksudnya,5,positif
Pengguna Google,gojek sekarang pilih2 orderan dan lama sekali nyantolnya giliran nyantol bayar besar lha gimana kalau yg ada dana pas2an yg tarifnya hanya mampu sesuai dengan yg di APK,1,negatif
Pengguna Google,tikatkan lagi pelayanannya,5,positif
Pengguna Google,"Selama ini gojek msh paling murah,masukan buat gojek mohon jgn di hilangkan fitur bayar parkirnya dong,dulu padahal biaya perjalanan dan parkirnya lengkap.",5,positif
Pengguna Google,bisa diandalkan,5,positif
Pengguna Google,asyik,5,positif
Pengguna Google,Mantap men!,5,positif
Pengguna Google,"banyak bugg, aku pesan 1 gojek tapi yang datang 2 terus pas selesai sampai tujuan malah nyari driver lain..... aplikasi bermasalah",1,negatif
Pengguna Google,"buat ongkir yang masuk akal dong,jarak pesanan cuma 1 km bisa 14rb",1,negatif
Pengguna Google,na ji s Lama bgt,1,negatif
Pengguna Google,"Aplikasi ga responsif 😂 lemot, dan map ga sesuai keberadaan customer. Driver juga ga tau jalan. Tidak direkomendasikan, masih perlu banyak perbaikan bug, bug dari aplikasi atau dari driver nya",1,negatif
Pengguna Google,sangat bagus,5,positif
Pengguna Google,mantap,5,positif
Pengguna Google,kerenn,5,positif
Pengguna Google,good aplikasi,5,positif
Pengguna Google,"GILA! GO-PAY PINJAM BUNGA NYA GEDE BANGET, MASA SAMPAI 100%? SAYA PINJEM 100RB TENOR 2 BULAN, TIAP BULAN HARUS GANTI 113.130. TEGA BANGET MENCEKIK RAKYAT BAWAH!!",2,negatif
Pengguna Google,"pelayanan bagus, cepat, tepat,amanah",5,positif
Pengguna Google,gampang untuk berpergian dan nyaman,5,positif
Pengguna Google,mantap gojek,5,positif
Pengguna Google,Aplikasi Sialan Go cat Gak Bisa Di Buka ..SAMPAH 😡,5,positif
Pengguna Google,lebih eFesien,5,positif
Pengguna Google,good,5,positif
Pengguna Google,semoga gojek sllu jaya,4,positif
Pengguna Google,mantap....oke,5,positif
Pengguna Google,"kekmananya apk kalian ini, mau pesan gofud bisanya gak bisa, bagusnya semua jaringanku ada ada aja klen ah bagus tutup aja apk ini",1,negatif
Pengguna Google,toppp Indonesia Aplikasi,5,positif
Pengguna Google,sangat membantu,5,positif
Pengguna Google,ongkos murah dan banyak bonusnya,5,positif
Pengguna Google,buat pelanggan gojek w kasih tau ya kalian kalau susah dapet driver itu karena sedang dicarikan driver area dan yg murah kaga perduli kalian bayar mahal seberapapun,2,negatif
Pengguna Google,cukup baik,5,positif
Pengguna Google,apps ini sangat membantu banyak orang 🥰🥰,5,positif
Pengguna Google,susah cari driver.,1,negatif
Pengguna Google,selalu lemot gak ada sinyal padahal sinyal bagus di aplikasi lain pun bagus,1,negatif
Pengguna Google,gak rekomended! disela sela susah pulang uang pas pasan dari jam 23.30-04.30 gabisa pake layanan murah!!,1,negatif
Pengguna Google,jelek,1,negatif
Pengguna Google,mantap,5,positif
Pengguna Google,"skip, untuk pembelian selain ojek mending ga usah, apalagi yg urgent kaya masalah listrik yg bisa mati di tengah malam. mending beli di apk lain yg lebih responsif, saya ga sengaja ngisi gopay untuk beli listrik, tapi karena gagal 1x dan mau coba lagi malah tidak bisa, berujung membeli dari apk lainnya. layanan yang lama seperti ini mesti di upd, merugikan bagi org yang uangnya pas-passan dan kehabisan listrik di tengah malam, cust mau disuruh tanpa listrik sampe pagi kayanya!",1,negatif
Pengguna Google,perbaiki fitur Game Bolak Balok (sering crash) edit : diupdate juga sama aja. sepertinya ada masalah internal aplikasinya beda perangkat beda akun juga sama aja,3,netral
Pengguna Google,oke,5,positif
Pengguna Google,sangat terbantu dengan aplikasi ini,5,positif
Pengguna Google,solusi tepat murah gercep,5,positif
